Case;VehCat;Year;TrafficScenario;Component;RoadCat;AmbientCondPattern;EFA_weighted;EFA_km_weighted;EFA_WTT_weighted;EFA_WTT_km_weighted;EFA_WTW_weighted;EFA_WTW_km_weighted
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;TØ,0-1h,0-1km;0.133244723;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;TØ,1-2h,0-1km;0.323129117;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;TØ,2-3h,0-1km;0.406091422;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;TØ,3-4h,0-1km;0.463520586;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;TØ,4-5h,0-1km;0.504816771;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;TØ,5-6h,0-1km;0.530107021;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;TØ,6-7h,0-1km;0.555397034;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;TØ,7-8h,0-1km;0.580687165;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;TØ,8-9h,0-1km;0.605977356;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;TØ,9-10h,0-1km;0.631267667;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;TØ,10-11h,0-1km;0.656557739;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;TØ,11-12h,0-1km;0.68184793;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;TØ,>12h,0-1km;0.694492877;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;TØ,0-1h,1-2km;0.139634967;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;TØ,1-2h,1-2km;0.351012439;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;TØ,2-3h,1-2km;0.442762017;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;TØ,3-4h,1-2km;0.505493164;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;TØ,4-5h,1-2km;0.550568342;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;TØ,5-6h,1-2km;0.57815057;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;TØ,6-7h,1-2km;0.605732679;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;TØ,7-8h,1-2km;0.633314848;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;TØ,8-9h,1-2km;0.660897076;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;TØ,9-10h,1-2km;0.688479364;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;TØ,10-11h,1-2km;0.716061413;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;TØ,11-12h,1-2km;0.743643641;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;TØ,>12h,1-2km;0.757434666;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO;Urban;TØ,0-1h,0-1km;0.546064913;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO;Urban;TØ,1-2h,0-1km;1.442446947;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO;Urban;TØ,2-3h,0-1km;1.998902798;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO;Urban;TØ,3-4h,0-1km;2.589188337;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO;Urban;TØ,4-5h,0-1km;2.980346203;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO;Urban;TØ,5-6h,0-1km;3.182178497;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO;Urban;TØ,6-7h,0-1km;3.384010315;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO;Urban;TØ,7-8h,0-1km;3.585842609;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO;Urban;TØ,8-9h,0-1km;3.787674189;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO;Urban;TØ,9-10h,0-1km;3.98950696;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO;Urban;TØ,10-11h,0-1km;4.191338539;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO;Urban;TØ,11-12h,0-1km;4.393171787;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO;Urban;TØ,>12h,0-1km;4.494088173;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO;Urban;TØ,0-1h,1-2km;0.555973053;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO;Urban;TØ,1-2h,1-2km;1.542209625;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO;Urban;TØ,2-3h,1-2km;2.218745947;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO;Urban;TØ,3-4h,1-2km;2.904486418;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO;Urban;TØ,4-5h,1-2km;3.361006975;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO;Urban;TØ,5-6h,1-2km;3.588617086;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO;Urban;TØ,6-7h,1-2km;3.816228628;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO;Urban;TØ,7-8h,1-2km;4.043840408;;;;;
