Case;VehCat;Year;TrafficScenario;Component;RoadCat;TrafficSit;Gradient;V_weighted;EFA_weighted;AmbientCondPattern;EFA_WTT_weighted;EFA_WTW_weighted
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;MW;RUR/Semi-MW/110/St+Go;0%;17.91928673;0.02;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;RUR/Trunk/60/Freeflow;0%;62.06960678;0.007776427;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;RUR/Trunk/60/St+Go;0%;13.27766705;0.020848729;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Rural;RUR/Trunk/70/Freeflow;0%;71.14556122;0.00818679;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Rural;RUR/Trunk/70/St+Go;0%;14.40660191;0.019299319;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Rural;RUR/Trunk/80/Freeflow;0%;79.04332733;0.006706291;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Rural;RUR/Trunk/80/St+Go;0%;15.47891235;0.018210759;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Rural;RUR/Trunk/90/Freeflow;0%;87.65540314;0.007409076;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Rural;RUR/Trunk/90/St+Go;0%;15.47174454;0.01821427;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Rural;RUR/Trunk/100/Freeflow;0%;96.43128204;0.007650223;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Rural;RUR/Trunk/100/St+Go;0%;17.9192524;0.016836718;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Rural;RUR/Trunk/110/Freeflow;0%;106.9844055;0.008475658;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Rural;RUR/Trunk/110/St+Go;0%;17.91928673;0.016832463;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;RUR/Distr/50/Freeflow;0%;48.93725204;0.008233286;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;RUR/Distr/50/St+Go;0%;12.48867226;0.019396583;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;RUR/Distr/60/Freeflow;0%;57.93897247;0.007482524;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;MW;RUR/MW/80/Freeflow;0%;82.81607056;0.006627701;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;MW;RUR/MW/80/St+Go;0%;15.47885513;0.01820752;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;MW;RUR/MW/90/Freeflow;0%;92.81604004;0.007322553;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;MW;RUR/MW/90/St+Go;0%;17.92219162;0.016836205;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;MW;RUR/MW/100/Freeflow;0%;102.0331345;0.007510466;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;MW;RUR/MW/100/St+Go;0%;17.92219162;0.016835677;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;MW;RUR/MW/110/Freeflow;0%;112.0321503;0.008083595;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;MW;RUR/MW/110/St+Go;0%;17.92120361;0.016838474;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;MW;RUR/MW/120/Freeflow;0%;122.0303116;0.009168951;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;MW;RUR/MW/120/St+Go;0%;17.91460991;0.016832853;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;MW;RUR/MW/130/Freeflow;0%;132.6271362;0.010413408;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;MW;RUR/MW/130/St+Go;0%;17.92098045;0.01683493;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;MW;RUR/MW/>130/Freeflow;0%;142.7669373;0.013948698;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;MW;RUR/MW/>130/St+Go;0%;17.91754341;0.016835989;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;MW;RUR/Semi-MW/90/Freeflow;0%;87.65540314;0.007409076;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;MW;RUR/Semi-MW/90/St+Go;0%;17.91978836;0.016838789;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;MW;RUR/Semi-MW/110/Freeflow;0%;106.9844055;0.008475658;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;RUR/Distr/60/St+Go;0%;13.27599525;0.020849233;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Rural;RUR/Distr/70/Freeflow;0%;66.94226074;0.007690792;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Rural;RUR/Distr/70/St+Go;0%;14.40682983;0.019299405;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Rural;RUR/Distr/80/Freeflow;0%;76.14403534;0.007891309;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Rural;RUR/Distr/80/St+Go;0%;15.47885513;0.01820684;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Rural;RUR/Distr/90/Freeflow;0%;85.08071899;0.00801242;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Rural;RUR/Distr/90/St+Go;0%;15.47851944;0.018207753;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Rural;RUR/Distr/100/Freeflow;0%;94.0226593;0.008654966;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Rural;RUR/Distr/100/St+Go;0%;17.93109322;0.016846545;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;RUR/Distr-sin./50/Freeflow;0%;43.23242569;0.010011393;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;RUR/Distr-sin./50/St+Go;0%;12.48866558;0.019396564;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;RUR/Distr-sin./60/Freeflow;0%;51.42971039;0.008790345;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;RUR/Distr-sin./60/St+Go;0%;14.40879345;0.017428616;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Rural;RUR/Distr-sin./70/Freeflow;0%;60.36349487;0.008503322;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Rural;RUR/Distr-sin./70/St+Go;0%;14.41936111;0.017423503;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Rural;RUR/Distr-sin./80/Freeflow;0%;68.63941193;0.008776649;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Rural;RUR/Distr-sin./80/St+Go;0%;14.92584133;0.017891031;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Rural;RUR/Distr-sin./90/Freeflow;0%;76.76605225;0.009077205;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Rural;RUR/Distr-sin./90/St+Go;0%;14.92581272;0.017891249;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Rural;RUR/Distr-sin./100/Freeflow;0%;85.02166748;0.009392905;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Rural;RUR/Distr-sin./100/St+Go;0%;14.91899109;0.017893327;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;RUR/Local/50/Freeflow;0%;46.53916931;0.010217509;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;RUR/Local/50/St+Go;0%;12.48533154;0.019397864;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;RUR/Local/60/Freeflow;0%;55.08581924;0.008316234;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;RUR/Local/60/St+Go;0%;13.27598763;0.020851392;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Rural;RUR/Local/70/Freeflow;0%;63.6858902;0.008362925;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Rural;RUR/Local/70/St+Go;0%;14.40676308;0.019299679;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Rural;RUR/Local/80/Freeflow;0%;72.18523407;0.008314768;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Rural;RUR/Local/80/St+Go;0%;15.48021507;0.018208545;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;RUR/Local-sin./50/Freeflow;0%;41.93020248;0.010571107;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;RUR/Local-sin./50/St+Go;0%;12.48839855;0.019396471;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;RUR/Local-sin./60/Freeflow;0%;48.74945068;0.009987166;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;RUR/Local-sin./60/St+Go;0%;14.42250538;0.017419273;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Rural;RUR/Local-sin./70/Freeflow;0%;57.36956024;0.010056566;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Rural;RUR/Local-sin./70/St+Go;0%;14.42250633;0.017419236;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Rural;RUR/Local-sin./80/Freeflow;0%;65.22600555;0.009403352;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Rural;RUR/Local-sin./80/St+Go;0%;14.92547131;0.01789058;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;RUR/Access/30/Freeflow;0%;33.69337463;0.01067189;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;RUR/Access/30/St+Go;0%;9.621912003;0.021785319;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;RUR/Access/40/Freeflow;0%;38.44244385;0.011012704;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;RUR/Access/40/St+Go;0%;11.82721329;0.019452147;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;RUR/Access/50/Freeflow;0%;43.90235519;0.010200209;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;Urban;RUR/Access/50/St+Go;0%;12.48865891;0.019396605;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;MW;URB/MW-Nat./80/Freeflow;0%;79.03363037;0.007328126;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;MW;URB/MW-Nat./80/St+Go;0%;15.47885513;0.018206555;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;MW;URB/MW-Nat./90/Freeflow;0%;88.43366241;0.007212738;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;MW;URB/MW-Nat./90/St+Go;0%;17.92218399;0.016836658;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;MW;URB/MW-Nat./100/Freeflow;0%;96.93362427;0.007978146;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;MW;URB/MW-Nat./100/St+Go;0%;17.92219162;0.016835921;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;MW;URB/MW-Nat./110/Freeflow;0%;106.4404526;0.008775452;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;MW;URB/MW-Nat./110/St+Go;0%;17.92109489;0.01683975;Ø/France - Avg;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;HC;MW;URB/MW-Nat./120/Freeflow;0%;115.9400406;0.009575125;Ø/France - Avg;;
