Case;VehCat;Year;TrafficScenario;Component;RoadCat;AmbientCondPattern;EFA_weighted;EFA_km_weighted;EFA_WTT_weighted;EFA_WTT_km_weighted;EFA_WTW_weighted;EFA_WTW_km_weighted
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,0-1h,0-1km;0.052931495;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;0.096062787;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,0-1km;0.097057149;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,3-4h,0-1km;0.100714199;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,4-5h,0-1km;0.101017118;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,5-6h,0-1km;0.097952209;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,6-7h,0-1km;0.094867311;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,0-1km;0.091762267;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,0-1km;0.088636972;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,9-10h,0-1km;0.085491292;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,10-11h,0-1km;0.082325108;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,11-12h,0-1km;0.079138309;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,>12h,0-1km;0.07753782;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,0-1h,1-2km;0.050042599;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,1-2km;0.107144691;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,1-2km;0.114052765;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,3-4h,1-2km;0.118722878;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,4-5h,1-2km;0.118871003;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,5-6h,1-2km;0.114495285;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,6-7h,1-2km;0.11011672;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;0.105735436;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;0.101351336;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,9-10h,1-2km;0.096964456;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,10-11h,1-2km;0.092574798;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,11-12h,1-2km;0.08818239;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,>12h,1-2km;0.085985228;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,0-1h,0-1km;3.980935812;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,1-2h,0-1km;7.614228725;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,2-3h,0-1km;11.36509132;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,3-4h,0-1km;15.53486824;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,4-5h,0-1km;19.74581337;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,5-6h,0-1km;24.13376999;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,6-7h,0-1km;28.52173042;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,7-8h,0-1km;32.90969467;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,8-9h,0-1km;37.29764557;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,9-10h,0-1km;41.68561554;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,10-11h,0-1km;46.07356644;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,11-12h,0-1km;50.46151352;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,>12h,0-1km;52.67656708;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,0-1h,1-2km;6.566217899;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,1-2h,1-2km;16.48072433;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,2-3h,1-2km;25.67976952;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,3-4h,1-2km;35.4047699;;;;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;CO2(total);Urban;TØ,4-5h,1-2km;45.18490219;;;;;
