Case;VehCat;Year;TrafficScenario;Component;RoadCat;TrafficSit;Gradient;IDSubsegment;Subsegment;Technology;SizeClasse;EmConcept;KM;%OfSubsegment;V;V_0%;V_100%;EFA;EFA_0%;EFA_100%;V_weighted;V_weighted_0%;V_weighted_100%;EFA_weighted;EFA_weighted_0%;EFA_weighted_100%;AmbientCondPattern;EFA_WTT;EFA_WTT_0%;EFA_WTT_100%;EFA_WTW;EFA_WTW_0%;EFA_WTW_100%
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/110/Freeflow;0%;111910;PC petrol Euro-1;petrol (4S);>=2L;PC petrol Euro-1;210318.5938;0.001219307;112.030838;NA;NA;0.136423782;NA;NA;112.0320587;NA;NA;0.008425465;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/110/Freeflow;0%;111920;PC petrol Euro-2;petrol (4S);>=2L;PC petrol Euro-2;196643.7813;0.008536982;112.0219421;NA;NA;0.059016392;NA;NA;112.0320587;NA;NA;0.008425465;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/110/Freeflow;0%;111930;PC petrol Euro-3;petrol (4S);>=2L;PC petrol Euro-3;175838.9844;0.019227868;112.0227661;NA;NA;0.020457054;NA;NA;112.0320587;NA;NA;0.008425465;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/110/Freeflow;0%;111940;PC petrol Euro-4;petrol (4S);>=2L;PC petrol Euro-4;145779.25;0.031943236;112.0325546;NA;NA;0.007304682;NA;NA;112.0320587;NA;NA;0.008425465;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/110/Freeflow;0%;111950;PC petrol Euro-5;petrol (4S);>=2L;PC petrol Euro-5;106131.7969;0.058916871;112.0331955;NA;NA;0.008359163;NA;NA;112.0320587;NA;NA;0.008425465;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/110/Freeflow;0%;111961;PC petrol Euro-6ab;petrol (4S);>=2L;PC petrol Euro-6ab;66197.00781;0.082369171;112.0297623;NA;NA;0.006067362;NA;NA;112.0320587;NA;NA;0.008425465;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/110/Freeflow;0%;111965;PC petrol Euro-6c;petrol (4S);>=2L;PC petrol Euro-6c;43431.35938;0.043270264;112.0302277;NA;NA;0.002437347;NA;NA;112.0320587;NA;NA;0.008425465;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/110/Freeflow;0%;111968;PC petrol Euro-6d;petrol (4S);>=2L;PC petrol Euro-6d;19861.0625;0.064392313;112.032341;NA;NA;0.00590199;NA;NA;112.0320587;NA;NA;0.008425465;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/110/Freeflow;0%;121910;PC diesel Euro-1;diesel;<1,4L;PC diesel Euro-1;377537.25;0.001675499;112.0212097;NA;NA;0.037626036;NA;NA;112.0320587;NA;NA;0.008425465;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/110/Freeflow;0%;121921;PC diesel Euro-2 (DPF);diesel;<1,4L;PC diesel Euro-2 (DPF);336490.3125;0.006963221;112.0324402;NA;NA;0.018106468;NA;NA;112.0320587;NA;NA;0.008425465;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/110/Freeflow;0%;121931;PC diesel Euro-3 (DPF);diesel;<1,4L;PC diesel Euro-3 (DPF);284639.1563;0.041854195;112.0309372;NA;NA;0.012697322;NA;NA;112.0320587;NA;NA;0.008425465;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/110/Freeflow;0%;121940;PC diesel Euro-4;diesel;<1,4L;PC diesel Euro-4;222993.3906;1.82862e-09;112.032486;NA;NA;0.006789775;NA;NA;112.0320587;NA;NA;0.008425465;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/110/Freeflow;0%;121950;PC diesel Euro-5;diesel;<1,4L;PC diesel Euro-5;159892.3125;0.193180934;112.032486;NA;NA;0.003809997;NA;NA;112.0320587;NA;NA;0.008425465;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/110/Freeflow;0%;121965;PC diesel Euro-6c;diesel;<1,4L;PC diesel Euro-6c;57040.42969;0.048191596;112.0338211;NA;NA;0.011807422;NA;NA;112.0320587;NA;NA;0.008425465;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/110/Freeflow;0%;121955;PC diesel Euro-6ab;diesel;<1,4L;PC diesel Euro-6ab;94579.64063;0.114155054;112.0338211;NA;NA;0.013866347;NA;NA;112.0320587;NA;NA;0.008425465;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
