Case;VehCat;Year;TrafficScenario;Component;RoadCat;TrafficSit;Gradient;V_weighted;EFA_weighted;AmbientCondPattern;EFA_WTT_weighted;EFA_WTW_weighted
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;MW;RUR/MW/90/Freeflow;0%;92.81606293;0.352032125;Ø/France - Avg;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;MW;RUR/MW/90/St+Go;0%;17.9214344;0.702750266;Ø/France - Avg;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;MW;RUR/MW/110/Freeflow;0%;112.0320587;0.439400971;Ø/France - Avg;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;MW;RUR/MW/110/St+Go;0%;17.92020035;0.702749848;Ø/France - Avg;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;MW;RUR/MW/130/Freeflow;0%;132.6266937;0.739763975;Ø/France - Avg;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;MW;RUR/MW/130/St+Go;0%;17.92035675;0.702434659;Ø/France - Avg;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;MW;RUR/Semi-MW/90/Freeflow;0%;87.65538788;0.360035509;Ø/France - Avg;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;MW;RUR/Semi-MW/90/St+Go;0%;17.91944885;0.702595055;Ø/France - Avg;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;MW;RUR/Semi-MW/110/Freeflow;0%;106.9843826;0.453609079;Ø/France - Avg;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;MW;RUR/Semi-MW/110/St+Go;0%;17.91869164;0.70268321;Ø/France - Avg;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Urban;RUR/Trunk/60/Freeflow;0%;62.06953812;0.333635837;Ø/France - Avg;;
IDF_2021_VehCat_OnlyCar[4.1];pass. car;2021;REF F HB41;NOx;Rural;RUR/Trunk/70/Freeflow;0%;71.1455307;0.363343745;Ø/France - Avg;;
